ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS_TARGET,AGE_YEARS,FLAG_UNEMPLOYED,YEARS_EMPLOYED,INCOME_PER_MEMBER,EMPLOYED_TO_AGE_RATIO,INCOME_GROUP,AGE_GROUP,EXPERIENCE_BUCKET,FINANCIAL_STABILITY_SCORE
5008804,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2.0,0,32.87,0,12.44,213750.0,0.3784606023729845,high,youth,senior,3.0
5008805,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2.0,0,32.87,0,12.44,213750.0,0.3784606023729845,high,youth,senior,3.0
5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2.0,0,58.79,0,3.1,56250.0,0.05273005613199524,medium,senior,mid,2.0
5008808,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,0,52.32,0,8.35,270000.0,0.15959480122324157,high,adult,mid,2.0
5008809,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,0,52.32,0,8.35,270000.0,0.15959480122324157,high,adult,mid,2.0
5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,0,52.32,0,8.35,270000.0,0.15959480122324157,high,adult,mid,2.0
5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,0,52.32,0,8.35,270000.0,0.15959480122324157,high,adult,mid,2.0
5008812,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1.0,0,61.5,1,0.0,283500.0,0.0,high,senior,entry,2.0
5008813,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1.0,0,61.5,1,0.0,283500.0,0.0,high,senior,entry,2.0
5008814,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1.0,0,61.5,1,0.0,283500.0,0.0,high,senior,entry,2.0
5008815,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2.0,0,46.19,0,2.11,135000.0,0.04568088330807534,high,adult,entry,3.0
5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2.0,0,46.19,0,2.11,135000.0,0.04568088330807534,high,adult,entry,3.0
5008819,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,0,48.67,0,3.27,67500.0,0.06718717896034518,medium,adult,mid,2.0
5008820,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,0,48.67,0,3.27,67500.0,0.06718717896034518,medium,adult,mid,2.0
5008821,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,0,48.67,0,3.27,67500.0,0.06718717896034518,medium,adult,mid,2.0
5008822,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,0,48.67,0,3.27,67500.0,0.06718717896034518,medium,adult,mid,2.0
5008823,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,0,48.67,0,3.27,67500.0,0.06718717896034518,medium,adult,mid,2.0
5008824,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,0,48.67,0,3.27,67500.0,0.06718717896034518,medium,adult,mid,2.0
5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2.0,0,29.21,0,3.02,65250.0,0.10338925025676138,medium,youth,mid,1.0
5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2.0,0,29.21,0,3.02,65250.0,0.10338925025676138,medium,youth,mid,1.0
5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,0,27.46,0,4.02,78750.0,0.14639475600873997,medium,youth,mid,2.0
5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,0,27.46,0,4.02,78750.0,0.14639475600873997,medium,youth,mid,2.0
5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,0,27.46,0,4.02,78750.0,0.14639475600873997,medium,youth,mid,2.0
5008834,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2.0,0,30.03,0,4.44,56250.0,0.14785214785214787,medium,youth,mid,1.0
5008835,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2.0,0,30.03,0,4.44,56250.0,0.14785214785214787,medium,youth,mid,1.0
5008836,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5.0,0,34.74,0,3.18,54000.0,0.09153713298791019,high,youth,mid,3.0
5008837,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5.0,0,34.74,0,3.18,54000.0,0.09153713298791019,high,youth,mid,3.0
5008838,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,32.42,0,5.52,135000.0,0.17026526835286857,high,youth,mid,2.0
5008839,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,32.42,0,5.52,135000.0,0.17026526835286857,high,youth,mid,2.0
5008840,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,32.42,0,5.52,135000.0,0.17026526835286857,high,youth,mid,2.0
5008841,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,32.42,0,5.52,135000.0,0.17026526835286857,high,youth,mid,2.0
5008842,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,32.42,0,5.52,135000.0,0.17026526835286857,high,youth,mid,2.0
5008843,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,32.42,0,5.52,135000.0,0.17026526835286857,high,youth,mid,2.0
5008844,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008846,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008847,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008849,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008850,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008851,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008852,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008853,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,56.13,0,12.18,56250.0,0.21699625868519506,medium,senior,senior,2.0
5008854,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008855,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008856,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008857,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008858,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008859,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008860,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008861,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008862,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008863,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008864,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008865,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008866,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008867,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5112846,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,43.15,0,8.69,33750.0,0.20139049826187716,medium,adult,mid,2.0
5008868,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3.0,0,44.39,0,19.44,70500.0,0.4379364721784186,medium,adult,senior,2.0
5008870,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3.0,0,44.39,0,19.44,70500.0,0.4379364721784186,medium,adult,senior,2.0
5008872,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2.0,0,45.64,0,14.69,180000.0,0.32186678352322523,high,adult,senior,3.0
5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008877,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008878,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008880,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,33.98,0,4.85,31500.0,0.14273101824602707,medium,youth,mid,1.0
