Feature,RF_Importance,Mutual_Information
AGE_YEARS,0.09417737834655965,0.014641235200494762
DAYS_BIRTH,0.0927172840012887,0.018397147329704766
EMPLOYED_TO_AGE_RATIO,0.07847522874399693,0.013622911429126194
DAYS_EMPLOYED,0.07707815220559942,0.009606032389052
INCOME_PER_MEMBER,0.07589012508467297,0.0029860713003635464
YEARS_EMPLOYED,0.07366944609710806,0.00688607785568518
AMT_INCOME_TOTAL,0.07106700359724769,0.0016103527663948736
FINANCIAL_STABILITY_SCORE,0.025123812772441995,0.002409513187001888
CNT_FAM_MEMBERS,0.023100969785920848,0.0008024894648646086
CNT_CHILDREN,0.016991997701636893,0.001714245439213169
FLAG_PHONE,0.015191272057608743,0.0023656974644268303
FLAG_OWN_REALTY_N,0.01399657705999746,0.0018448975058167338
FLAG_WORK_PHONE,0.012283324920795011,0.0005693264818127375
NAME_EDUCATION_TYPE_Higher education,0.011744342754273395,0.0002505659247127312
NAME_INCOME_TYPE_Commercial associate,0.011690171199369239,0.0007379846233064313
INCOME_GROUP_medium,0.01153181545244813,0.004368836901366802
CODE_GENDER_M,0.011411955299476063,0.0018276922934219453
FLAG_OWN_REALTY_Y,0.01116400228074788,0.005017324978546345
NAME_EDUCATION_TYPE_Secondary / secondary special,0.010872096877144936,0.006296728385351447
FLAG_OWN_CAR_N,0.010600742724083298,0.00586330795011647
NAME_INCOME_TYPE_Pensioner,0.010391373670389883,0.0009489052100175588
INCOME_GROUP_high,0.010345202043965067,0.0003462929589874708
CODE_GENDER_F,0.010208268863814221,0.0048262683576343335
NAME_FAMILY_STATUS_Married,0.010031241612390747,0.005268944649530427
NAME_INCOME_TYPE_Working,0.009929711275474427,0.004133663292390066
FLAG_OWN_CAR_Y,0.009910830661498627,0.001885434152693044
OCCUPATION_TYPE_Sales staff,0.009228146449439345,0.0014845167847215013
AGE_GROUP_youth,0.00846181937147303,0.0009141178961633578
OCCUPATION_TYPE_Laborers,0.008362981417349855,0.004163564438937062
EXPERIENCE_BUCKET_entry,0.008188243027222875,0.0033491967409120527
NAME_FAMILY_STATUS_Single / not married,0.0081642598844572,0.0002966600374529893
OCCUPATION_TYPE_Core staff,0.008149159940662683,1.5518673592840315e-05
NAME_INCOME_TYPE_State servant,0.008110355499751278,0.0004884564211047326
NAME_HOUSING_TYPE_House / apartment,0.008099299671644961,0.0048857096023371405
FLAG_EMAIL,0.007619827218735611,0.0001038757806135493
INCOME_GROUP_low,0.0074256010450310175,0.0
NAME_FAMILY_STATUS_Civil marriage,0.007365984938663858,0.0006160920052924457
OCCUPATION_TYPE_Drivers,0.007318141593313687,0.0
OCCUPATION_TYPE_High skill tech staff,0.0070779738798906625,6.855229700319931e-05
AGE_GROUP_adult,0.0067414597560462265,0.0029820263519331203
NAME_FAMILY_STATUS_Separated,0.006605698457888628,0.0007810619248420636
OCCUPATION_TYPE_Managers,0.006477351207416579,0.0
NAME_FAMILY_STATUS_Widow,0.00618931079898418,0.0014090319595883027
OCCUPATION_TYPE_Accountants,0.006058755774516175,0.0
AGE_GROUP_senior,0.005725209943112124,0.001115262189310684
NAME_HOUSING_TYPE_With parents,0.005575278582449551,0.00044953624192145547
EXPERIENCE_BUCKET_mid,0.00516874175414651,0.0026646934894174468
NAME_EDUCATION_TYPE_Incomplete higher,0.004717116478627992,0.0
EXPERIENCE_BUCKET_senior,0.00465466051628255,0.0008193526916855376
OCCUPATION_TYPE_Medicine staff,0.0037880768590389676,0.0007820432625820217
NAME_HOUSING_TYPE_Municipal apartment,0.0033350604794658433,0.0
OCCUPATION_TYPE_Cooking staff,0.0032680850126824484,0.0
NAME_HOUSING_TYPE_Office apartment,0.0029374231358021015,0.0
FLAG_UNEMPLOYED,0.0025656957411540155,0.00023957628610360437
NAME_EDUCATION_TYPE_Lower secondary,0.002190099186428564,0.0
OCCUPATION_TYPE_Security staff,0.001833307072788862,0.0
OCCUPATION_TYPE_Low-skill Laborers,0.0015913468280075941,0.0
NAME_HOUSING_TYPE_Rented apartment,0.001582123683326338,0.0
OCCUPATION_TYPE_Cleaning staff,0.0015023243423068584,0.0
OCCUPATION_TYPE_Secretaries,0.0010674823904179157,0.0
OCCUPATION_TYPE_IT staff,0.0008866477063523491,8.823914894939833e-05
NAME_HOUSING_TYPE_Co-op apartment,0.000793143317328394,0.0
OCCUPATION_TYPE_Private service staff,0.0007272847782306495,0.0005895584469124415
OCCUPATION_TYPE_HR staff,0.0006483372782866693,0.0001514490394041168
OCCUPATION_TYPE_Waiters/barmen staff,0.00016257152884618226,0.0003857418249415545
OCCUPATION_TYPE_Realty agents,2.48203406468229e-05,0.0001827082785919032
NAME_EDUCATION_TYPE_Academic degree,1.646602183259155e-05,0.00012509463215493177
FLAG_MOBIL,0.0,0.007231689305750466
NAME_INCOME_TYPE_Student,0.0,0.00023211264900213635
