ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,FLAG_UNEMPLOYED,YEARS_EMPLOYED,STATUS_TARGET
5008804,F,Y,Y,0,163300.0,Working,Higher education,Married,House / apartment,-16261,-3712,1,0,0,0,Managers,2,44.52,0,10.16,0
5008805,F,N,Y,1,327200.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-24771,-17245,1,0,0,0,Core staff,2,67.82,0,47.21,0
5008806,F,N,Y,0,469100.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-22263,-10601,1,1,0,0,Laborers,1,60.95,0,29.02,0
5008807,F,Y,Y,0,132200.0,Working,Higher education,Married,Co-op apartment,-17582,-7356,1,0,1,0,Unknown,2,48.14,0,20.14,0
5008808,M,N,Y,0,574700.0,Working,Secondary / secondary special,Married,House / apartment,-9916,-3044,1,1,0,0,Laborers,2,27.15,0,8.33,0
5008809,M,Y,N,0,228900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20341,-3932,1,1,1,0,Laborers,1,55.69,0,10.77,0
5008810,M,N,Y,0,149900.0,Working,Higher education,Married,House / apartment,-22152,-5934,1,1,0,0,Sales staff,2,60.65,0,16.25,0
5008811,F,N,Y,0,356600.0,Working,Secondary / secondary special,Married,House / apartment,-24382,-15050,1,0,0,0,Managers,2,66.75,0,41.2,0
5008812,F,Y,N,0,195300.0,Working,Higher education,Married,House / apartment,-18484,-7972,1,0,0,0,Unknown,2,50.61,0,21.83,0
5008813,F,N,N,0,234400.0,Working,Secondary / secondary special,Married,Municipal apartment,-16700,-3459,1,0,1,0,Core staff,2,45.72,0,9.47,0
5008814,M,Y,N,0,199500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18613,-1641,1,1,1,0,Unknown,1,50.96,0,4.49,0
5008815,F,N,N,0,162300.0,Working,Higher education,Married,House / apartment,-24531,-6337,1,0,1,0,Unknown,2,67.16,0,17.35,0
5008816,F,N,N,3,350600.0,Working,Secondary / secondary special,Married,House / apartment,-18776,-3482,1,0,0,1,Laborers,5,51.41,0,9.53,0
5008817,M,N,Y,0,211600.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-12009,365243,1,1,0,0,Unknown,2,32.88,1,0.0,0
5008818,M,Y,Y,1,119000.0,Pensioner,Incomplete higher,Married,House / apartment,-18923,365243,1,0,0,0,Unknown,3,51.81,1,0.0,1
5008819,M,Y,Y,1,321600.0,Working,Secondary / secondary special,Married,House / apartment,-23371,-11794,1,0,1,0,Unknown,3,63.99,0,32.29,0
5008820,M,Y,Y,0,133600.0,Working,Secondary / secondary special,Married,House / apartment,-17660,-7290,1,0,0,0,Unknown,2,48.35,0,19.96,0
5008821,F,Y,Y,1,137200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16486,365243,1,1,1,0,Unknown,3,45.14,1,0.0,1
5008822,F,N,Y,0,443200.0,Working,Secondary / secondary special,Married,House / apartment,-20698,-7388,1,0,0,0,Laborers,2,56.67,0,20.23,0
5008823,M,N,Y,0,134200.0,Working,Higher education,Married,House / apartment,-19376,-6872,1,1,1,0,Unknown,2,53.05,0,18.81,0
5008824,F,N,Y,0,76700.0,Working,Secondary / secondary special,Widow,House / apartment,-8340,-1718,1,0,1,0,Managers,1,22.83,0,4.7,0
5008825,M,N,Y,1,333300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20551,-10718,1,1,1,0,Unknown,3,56.27,0,29.34,0
5008826,M,N,N,0,209700.0,Working,Secondary / secondary special,Married,House / apartment,-14748,-796,1,0,1,0,Drivers,2,40.38,0,2.18,0
5008827,F,N,Y,1,219000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-24488,-2647,1,0,0,0,Laborers,3,67.04,0,7.25,0
5008828,F,N,N,0,208600.0,Commercial associate,Higher education,Married,House / apartment,-25034,-13062,1,1,0,0,Drivers,2,68.54,0,35.76,0
5008829,F,N,Y,1,274100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15500,365243,1,0,1,0,Unknown,3,42.44,1,0.0,0
5008830,M,Y,N,0,167600.0,State servant,Secondary / secondary special,Married,Office apartment,-24998,-5791,1,0,0,0,Unknown,2,68.44,0,15.85,1
5008831,F,Y,N,0,510700.0,Working,Secondary / secondary special,Married,House / apartment,-12981,-6018,1,0,1,0,Unknown,2,35.54,0,16.48,0
5008832,F,N,Y,0,116700.0,Working,Higher education,Married,House / apartment,-19772,-8944,1,0,0,0,Core staff,2,54.13,0,24.49,0
5008833,M,Y,Y,0,304900.0,Commercial associate,Higher education,Married,House / apartment,-8676,-2040,1,0,0,0,Sales staff,2,23.75,0,5.59,0
5008834,F,Y,Y,0,336600.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9953,-2998,1,0,0,0,Sales staff,2,27.25,0,8.21,0
