ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS_TARGET,AGE_YEARS,FLAG_UNEMPLOYED,YEARS_EMPLOYED,INCOME_PER_MEMBER,EMPLOYED_TO_AGE_RATIO,INCOME_GROUP,AGE_GROUP,EXPERIENCE_BUCKET,FINANCIAL_STABILITY_SCORE
5008804,F,Y,Y,0,163300.0,Working,Higher education,Married,House / apartment,-16261,-3712,1,0,0,0,Managers,2.0,0,44.52,0,10.16,81650.0,0.22821203953279423,medium,adult,senior,3.0
5008805,F,N,Y,1,327200.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-24771,-17245,1,0,0,0,Core staff,2.0,0,67.82,0,47.21,163600.0,0.6961073429666765,high,senior,senior,2.0
5008806,F,N,Y,0,469100.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-22263,-10601,1,1,0,0,Laborers,1.0,0,60.95,0,29.02,469100.0,0.47612797374897453,high,senior,senior,2.0
5008807,F,Y,Y,0,132200.0,Working,Higher education,Married,Co-op apartment,-17582,-7356,1,0,1,0,,2.0,0,48.14,0,20.14,66100.0,0.4183631076028251,medium,adult,senior,2.0
5008808,M,N,Y,0,574700.0,Working,Secondary / secondary special,Married,House / apartment,-9916,-3044,1,1,0,0,Laborers,2.0,0,27.15,0,8.33,287350.0,0.30681399631675876,high,youth,mid,2.0
5008809,M,Y,N,0,228900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20341,-3932,1,1,1,0,Laborers,1.0,0,55.69,0,10.77,228900.0,0.19339199138085833,medium,senior,senior,2.0
5008810,M,N,Y,0,149900.0,Working,Higher education,Married,House / apartment,-22152,-5934,1,1,0,0,Sales staff,2.0,0,60.65,0,16.25,74950.0,0.2679307502061006,medium,senior,senior,1.0
5008811,F,N,Y,0,356600.0,Working,Secondary / secondary special,Married,House / apartment,-24382,-15050,1,0,0,0,Managers,2.0,0,66.75,0,41.2,178300.0,0.6172284644194757,high,senior,senior,2.0
5008812,F,Y,N,0,195300.0,Working,Higher education,Married,House / apartment,-18484,-7972,1,0,0,0,,2.0,0,50.61,0,21.83,97650.0,0.43133768030033587,medium,adult,senior,2.0
5008813,F,N,N,0,234400.0,Working,Secondary / secondary special,Married,Municipal apartment,-16700,-3459,1,0,1,0,Core staff,2.0,0,45.72,0,9.47,117200.0,0.2071303587051619,medium,adult,mid,1.0
5008814,M,Y,N,0,199500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18613,-1641,1,1,1,0,,1.0,0,50.96,0,4.49,199500.0,0.0881083202511774,medium,adult,mid,2.0
5008815,F,N,N,0,162300.0,Working,Higher education,Married,House / apartment,-24531,-6337,1,0,1,0,,2.0,0,67.16,0,17.35,81150.0,0.25833829660512214,medium,senior,senior,1.0
5008816,F,N,N,3,350600.0,Working,Secondary / secondary special,Married,House / apartment,-18776,-3482,1,0,0,1,Laborers,5.0,0,51.41,0,9.53,70120.0,0.18537249562341956,high,adult,mid,1.0
5008817,M,N,Y,0,211600.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-12009,365243,1,1,0,0,,2.0,0,32.88,1,0.0,105800.0,0.0,medium,youth,entry,2.0
5008818,M,Y,Y,1,119000.0,Pensioner,Incomplete higher,Married,House / apartment,-18923,365243,1,0,0,0,,3.0,1,51.81,1,0.0,39666.666666666664,0.0,medium,adult,entry,2.0
5008819,M,Y,Y,1,321600.0,Working,Secondary / secondary special,Married,House / apartment,-23371,-11794,1,0,1,0,,3.0,0,63.99,0,32.29,107200.0,0.5046100953273949,high,senior,senior,3.0
5008820,M,Y,Y,0,133600.0,Working,Secondary / secondary special,Married,House / apartment,-17660,-7290,1,0,0,0,,2.0,0,48.35,0,19.96,66800.0,0.41282316442606,medium,adult,senior,2.0
5008821,F,Y,Y,1,137200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16486,365243,1,1,1,0,,3.0,1,45.14,1,0.0,45733.333333333336,0.0,medium,adult,entry,2.0
5008822,F,N,Y,0,443200.0,Working,Secondary / secondary special,Married,House / apartment,-20698,-7388,1,0,0,0,Laborers,2.0,0,56.67,0,20.23,221600.0,0.35697900123522147,high,senior,senior,2.0
5008823,M,N,Y,0,134200.0,Working,Higher education,Married,House / apartment,-19376,-6872,1,1,1,0,,2.0,0,53.05,0,18.81,67100.0,0.35457115928369465,medium,adult,senior,1.0
5008824,F,N,Y,0,76700.0,Working,Secondary / secondary special,Widow,House / apartment,-8340,-1718,1,0,1,0,Managers,1.0,0,22.83,0,4.7,76700.0,0.2058694699956198,low,youth,mid,1.0
5008825,M,N,Y,1,333300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20551,-10718,1,1,1,0,,3.0,0,56.27,0,29.34,111100.0,0.5214146081393282,high,senior,senior,2.0
5008826,M,N,N,0,209700.0,Working,Secondary / secondary special,Married,House / apartment,-14748,-796,1,0,1,0,Drivers,2.0,0,40.38,0,2.18,104850.0,0.05398712233779099,medium,adult,entry,1.0
5008827,F,N,Y,1,219000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-24488,-2647,1,0,0,0,Laborers,3.0,0,67.04,0,7.25,73000.0,0.10814439140811455,medium,senior,mid,2.0
5008828,F,N,N,0,208600.0,Commercial associate,Higher education,Married,House / apartment,-25034,-13062,1,1,0,0,Drivers,2.0,0,68.54,0,35.76,104300.0,0.5217391304347825,medium,senior,senior,1.0
5008829,F,N,Y,1,274100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15500,365243,1,0,1,0,,3.0,0,42.44,1,0.0,91366.66666666667,0.0,high,adult,entry,2.0
5008830,M,Y,N,0,167600.0,State servant,Secondary / secondary special,Married,Office apartment,-24998,-5791,1,0,0,0,,2.0,1,68.44,0,15.85,83800.0,0.2315897136177674,medium,senior,senior,2.0
5008831,F,Y,N,0,510700.0,Working,Secondary / secondary special,Married,House / apartment,-12981,-6018,1,0,1,0,,2.0,0,35.54,0,16.48,255350.0,0.4637028700056275,high,adult,senior,2.0
5008832,F,N,Y,0,116700.0,Working,Higher education,Married,House / apartment,-19772,-8944,1,0,0,0,Core staff,2.0,0,54.13,0,24.49,58350.0,0.4524293367818215,medium,adult,senior,1.0
5008833,M,Y,Y,0,304900.0,Commercial associate,Higher education,Married,House / apartment,-8676,-2040,1,0,0,0,Sales staff,2.0,0,23.75,0,5.59,152450.0,0.23536842105263156,high,youth,mid,3.0
5008834,F,Y,Y,0,336600.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9953,-2998,1,0,0,0,Sales staff,2.0,0,27.25,0,8.21,168300.0,0.3012844036697248,high,youth,mid,3.0
5008835,M,N,N,2,167000.0,Working,Secondary / secondary special,Married,House / apartment,-23093,-11887,1,0,1,0,Laborers,4.0,0,63.23,0,32.54,41750.0,0.5146291317412621,medium,senior,senior,1.0
5008836,M,N,N,0,146300.0,Working,Secondary / secondary special,Married,House / apartment,-23628,-7808,1,0,0,0,Sales staff,2.0,0,64.69,0,21.38,73150.0,0.33049930437471015,medium,senior,senior,0.0
5008837,F,N,N,2,406000.0,Working,Incomplete higher,Married,With parents,-17032,-7766,1,0,0,0,Core staff,4.0,0,46.63,0,21.26,101500.0,0.4559296590177997,high,adult,senior,1.0
5008838,F,Y,Y,0,148800.0,Working,Incomplete higher,Married,House / apartment,-13510,-242,1,1,0,0,Accountants,2.0,0,36.99,0,0.66,74400.0,0.017842660178426603,medium,adult,entry,2.0
5008839,F,Y,Y,1,180300.0,Working,Secondary / secondary special,Married,House / apartment,-15542,-7538,1,0,0,0,Core staff,3.0,1,42.55,0,20.64,60100.0,0.4850763807285547,medium,adult,senior,3.0
5008840,M,N,N,0,380500.0,State servant,Secondary / secondary special,Married,House / apartment,-23187,-13873,1,0,0,0,Managers,2.0,0,63.48,0,37.98,190250.0,0.5982986767485822,high,senior,senior,1.0
5008841,M,N,Y,0,248400.0,Working,Higher education,Married,House / apartment,-11158,-1953,1,0,0,0,Private service staff,2.0,0,30.55,0,5.35,124200.0,0.17512274959083468,medium,youth,mid,2.0
5008842,F,N,Y,1,99400.0,State servant,Secondary / secondary special,Married,House / apartment,-12690,-4082,1,0,0,0,,3.0,1,34.74,0,11.18,33133.333333333336,0.3218192285549798,low,youth,senior,1.0
5008843,F,N,Y,0,584800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21649,365243,1,1,0,0,,2.0,0,59.27,1,0.0,292400.0,0.0,high,senior,entry,2.0
5008844,M,N,N,0,187300.0,Working,Secondary / secondary special,Widow,House / apartment,-24385,-12337,1,0,0,0,Core staff,1.0,0,66.76,0,33.78,187300.0,0.505991611743559,medium,senior,senior,1.0
5008845,F,N,Y,0,199600.0,Commercial associate,Incomplete higher,Married,House / apartment,-9002,-1376,1,0,1,0,Laborers,2.0,0,24.65,0,3.77,99800.0,0.15294117647058825,medium,youth,mid,2.0
5008846,M,Y,Y,0,277400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21984,-9298,1,0,1,0,Drivers,1.0,0,60.19,0,25.46,277400.0,0.4229938527994684,high,senior,senior,3.0
5008847,F,N,Y,0,333700.0,Working,Higher education,Single / not married,House / apartment,-19086,-10940,1,0,0,0,,1.0,0,52.25,0,29.95,333700.0,0.5732057416267943,high,adult,senior,2.0
5008848,M,N,N,1,650800.0,Working,Secondary / secondary special,Married,House / apartment,-11519,-3681,1,0,0,0,,3.0,1,31.54,0,10.08,216933.33333333334,0.31959416613823716,high,youth,senior,1.0
5008849,F,N,Y,0,106500.0,Working,Secondary / secondary special,Married,House / apartment,-21108,-9606,1,0,0,0,,2.0,0,57.79,0,26.3,53250.0,0.4550960373767088,medium,senior,senior,1.0
5008850,M,N,Y,0,369000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20599,-136,1,0,0,0,,2.0,0,56.4,0,0.37,184500.0,0.006560283687943262,high,senior,entry,2.0
5008851,F,N,Y,0,354000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9899,-99,1,0,1,0,Cleaning staff,2.0,0,27.1,0,0.27,177000.0,0.00996309963099631,high,youth,entry,2.0
5008852,F,Y,N,0,228000.0,Working,Secondary / secondary special,Married,House / apartment,-16477,365243,1,0,1,0,,2.0,0,45.11,1,0.0,114000.0,0.0,medium,adult,entry,2.0
5008853,M,N,N,0,361900.0,Working,Secondary / secondary special,Married,House / apartment,-21153,-10332,1,0,0,0,Core staff,2.0,1,57.91,0,28.29,180950.0,0.48851666378863756,high,senior,senior,1.0
5008854,F,Y,N,1,389500.0,Working,Higher education,Married,House / apartment,-10803,-3964,1,0,0,0,Accountants,3.0,0,29.58,0,10.85,129833.33333333333,0.36680189317106154,high,youth,senior,2.0
5008855,F,N,Y,1,122300.0,Working,Secondary / secondary special,Married,House / apartment,-15756,-1020,1,0,1,0,Laborers,3.0,0,43.14,0,2.79,40766.666666666664,0.06467315716272601,medium,adult,entry,1.0
5008856,F,Y,N,0,585600.0,Commercial associate,Higher education,Married,House / apartment,-9510,-1412,1,0,0,0,,2.0,0,26.04,0,3.87,292800.0,0.14861751152073735,high,youth,mid,2.0
5008857,F,Y,Y,1,112000.0,Pensioner,Secondary / secondary special,Separated,Co-op apartment,-12909,365243,1,0,0,0,,2.0,0,35.34,1,0.0,56000.0,0.0,medium,adult,entry,2.0
5008858,F,N,Y,0,138400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11285,-3887,1,0,0,0,Drivers,2.0,0,30.9,0,10.64,69200.0,0.34433656957928804,medium,youth,senior,1.0
5008859,F,N,Y,1,214200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16529,-6202,1,0,1,0,Sales staff,3.0,0,45.25,0,16.98,71400.0,0.3752486187845304,medium,adult,senior,2.0
5008860,M,N,Y,0,639200.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-9884,-2850,1,0,0,0,Managers,1.0,0,27.06,0,7.8,639200.0,0.28824833702882485,high,youth,mid,2.0
