ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008804,F,Y,Y,0,163300.0,Working,Higher education,Married,House / apartment,-16261,-3712,1,0,0,0,Managers,2.0
5008805,F,N,Y,1,327200.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-24771,-17245,1,0,0,0,Core staff,2.0
5008806,F,N,Y,0,469100.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-22263,-10601,1,1,0,0,Laborers,1.0
5008807,F,Y,Y,0,132200.0,Working,Higher education,Married,Co-op apartment,-17582,-7356,1,0,1,0,,2.0
5008808,M,N,Y,0,574700.0,Working,Secondary / secondary special,Married,House / apartment,-9916,-3044,1,1,0,0,Laborers,2.0
5008809,M,Y,N,0,228900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20341,-3932,1,1,1,0,Laborers,1.0
5008810,M,N,Y,0,149900.0,Working,Higher education,Married,House / apartment,-22152,-5934,1,1,0,0,Sales staff,2.0
5008811,F,N,Y,0,356600.0,Working,Secondary / secondary special,Married,House / apartment,-24382,-15050,1,0,0,0,Managers,2.0
5008812,F,Y,N,0,195300.0,Working,Higher education,Married,House / apartment,-18484,-7972,1,0,0,0,,2.0
5008813,F,N,N,0,234400.0,Working,Secondary / secondary special,Married,Municipal apartment,-16700,-3459,1,0,1,0,Core staff,2.0
5008814,M,Y,N,0,199500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18613,-1641,1,1,1,0,,1.0
5008815,F,N,N,0,162300.0,Working,Higher education,Married,House / apartment,-24531,-6337,1,0,1,0,,2.0
5008816,F,N,N,3,350600.0,Working,Secondary / secondary special,Married,House / apartment,-18776,-3482,1,0,0,1,Laborers,5.0
5008817,M,N,Y,0,211600.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-12009,365243,1,1,0,0,,2.0
5008818,M,Y,Y,1,119000.0,Pensioner,Incomplete higher,Married,House / apartment,-18923,365243,1,0,0,0,,3.0
5008819,M,Y,Y,1,321600.0,Working,Secondary / secondary special,Married,House / apartment,-23371,-11794,1,0,1,0,,3.0
5008820,M,Y,Y,0,133600.0,Working,Secondary / secondary special,Married,House / apartment,-17660,-7290,1,0,0,0,,2.0
5008821,F,Y,Y,1,137200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16486,365243,1,1,1,0,,3.0
5008822,F,N,Y,0,443200.0,Working,Secondary / secondary special,Married,House / apartment,-20698,-7388,1,0,0,0,Laborers,2.0
5008823,M,N,Y,0,134200.0,Working,Higher education,Married,House / apartment,-19376,-6872,1,1,1,0,,2.0
5008824,F,N,Y,0,76700.0,Working,Secondary / secondary special,Widow,House / apartment,-8340,-1718,1,0,1,0,Managers,1.0
5008825,M,N,Y,1,333300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20551,-10718,1,1,1,0,,3.0
5008826,M,N,N,0,209700.0,Working,Secondary / secondary special,Married,House / apartment,-14748,-796,1,0,1,0,Drivers,2.0
5008827,F,N,Y,1,219000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-24488,-2647,1,0,0,0,Laborers,3.0
5008828,F,N,N,0,208600.0,Commercial associate,Higher education,Married,House / apartment,-25034,-13062,1,1,0,0,Drivers,2.0
5008829,F,N,Y,1,274100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15500,365243,1,0,1,0,,3.0
5008830,M,Y,N,0,167600.0,State servant,Secondary / secondary special,Married,Office apartment,-24998,-5791,1,0,0,0,,2.0
5008831,F,Y,N,0,510700.0,Working,Secondary / secondary special,Married,House / apartment,-12981,-6018,1,0,1,0,,2.0
5008832,F,N,Y,0,116700.0,Working,Higher education,Married,House / apartment,-19772,-8944,1,0,0,0,Core staff,2.0
5008833,M,Y,Y,0,304900.0,Commercial associate,Higher education,Married,House / apartment,-8676,-2040,1,0,0,0,Sales staff,2.0
5008834,F,Y,Y,0,336600.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9953,-2998,1,0,0,0,Sales staff,2.0
5008835,M,N,N,2,167000.0,Working,Secondary / secondary special,Married,House / apartment,-23093,-11887,1,0,1,0,Laborers,4.0
5008836,M,N,N,0,146300.0,Working,Secondary / secondary special,Married,House / apartment,-23628,-7808,1,0,0,0,Sales staff,2.0
5008837,F,N,N,2,406000.0,Working,Incomplete higher,Married,With parents,-17032,-7766,1,0,0,0,Core staff,4.0
5008838,F,Y,Y,0,148800.0,Working,Incomplete higher,Married,House / apartment,-13510,-242,1,1,0,0,Accountants,2.0
5008839,F,Y,Y,1,180300.0,Working,Secondary / secondary special,Married,House / apartment,-15542,-7538,1,0,0,0,Core staff,3.0
5008840,M,N,N,0,380500.0,State servant,Secondary / secondary special,Married,House / apartment,-23187,-13873,1,0,0,0,Managers,2.0
5008841,M,N,Y,0,248400.0,Working,Higher education,Married,House / apartment,-11158,-1953,1,0,0,0,Private service staff,2.0
5008842,F,N,Y,1,99400.0,State servant,Secondary / secondary special,Married,House / apartment,-12690,-4082,1,0,0,0,,3.0
5008843,F,N,Y,0,584800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21649,365243,1,1,0,0,,2.0
5008844,M,N,N,0,187300.0,Working,Secondary / secondary special,Widow,House / apartment,-24385,-12337,1,0,0,0,Core staff,1.0
5008845,F,N,Y,0,199600.0,Commercial associate,Incomplete higher,Married,House / apartment,-9002,-1376,1,0,1,0,Laborers,2.0
5008846,M,Y,Y,0,277400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21984,-9298,1,0,1,0,Drivers,1.0
5008847,F,N,Y,0,333700.0,Working,Higher education,Single / not married,House / apartment,-19086,-10940,1,0,0,0,,1.0
5008848,M,N,N,1,650800.0,Working,Secondary / secondary special,Married,House / apartment,-11519,-3681,1,0,0,0,,3.0
5008849,F,N,Y,0,106500.0,Working,Secondary / secondary special,Married,House / apartment,-21108,-9606,1,0,0,0,,2.0
5008850,M,N,Y,0,369000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20599,-136,1,0,0,0,,2.0
5008851,F,N,Y,0,354000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9899,-99,1,0,1,0,Cleaning staff,2.0
5008852,F,Y,N,0,228000.0,Working,Secondary / secondary special,Married,House / apartment,-16477,365243,1,0,1,0,,2.0
5008853,M,N,N,0,361900.0,Working,Secondary / secondary special,Married,House / apartment,-21153,-10332,1,0,0,0,Core staff,2.0
5008854,F,Y,N,1,389500.0,Working,Higher education,Married,House / apartment,-10803,-3964,1,0,0,0,Accountants,3.0
5008855,F,N,Y,1,122300.0,Working,Secondary / secondary special,Married,House / apartment,-15756,-1020,1,0,1,0,Laborers,3.0
5008856,F,Y,N,0,585600.0,Commercial associate,Higher education,Married,House / apartment,-9510,-1412,1,0,0,0,,2.0
5008857,F,Y,Y,1,112000.0,Pensioner,Secondary / secondary special,Separated,Co-op apartment,-12909,365243,1,0,0,0,,2.0
5008858,F,N,Y,0,138400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11285,-3887,1,0,0,0,Drivers,2.0
5008859,F,N,Y,1,214200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16529,-6202,1,0,1,0,Sales staff,3.0
5008860,M,N,Y,0,639200.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-9884,-2850,1,0,0,0,Managers,1.0
5008861,M,Y,N,0,209300.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-14302,-6790,1,0,0,0,Core staff,1.0
5008862,M,N,Y,0,240300.0,Commercial associate,Higher education,Married,House / apartment,-12330,-2485,1,1,0,1,Laborers,2.0
5008863,M,Y,Y,0,499600.0,Working,Secondary / secondary special,Married,House / apartment,-20930,-10908,1,1,0,0,Sales staff,2.0
5008864,F,N,Y,0,210100.0,Student,Secondary / secondary special,Married,House / apartment,-20083,-8752,1,0,0,0,Laborers,2.0
5008865,M,N,Y,0,135400.0,Working,Secondary / secondary special,Married,House / apartment,-9039,-287,1,0,0,0,Drivers,2.0
5008866,F,N,Y,0,198200.0,Working,Higher education,Married,House / apartment,-24718,-14912,1,0,0,0,,2.0
5008867,F,Y,Y,0,484500.0,Working,Secondary / secondary special,Married,House / apartment,-20905,-8013,1,1,0,0,,2.0
5008868,M,N,Y,0,252900.0,Working,Secondary / secondary special,Married,House / apartment,-18554,-10589,1,1,0,0,Core staff,2.0
5008869,F,Y,Y,0,641000.0,Pensioner,Higher education,Separated,House / apartment,-16029,365243,1,0,1,0,,1.0
5008870,M,N,Y,0,353100.0,Working,Secondary / secondary special,Married,House / apartment,-10554,-80,1,0,0,1,Accountants,2.0
5008871,F,Y,N,0,176900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24874,365243,1,0,1,0,,2.0
5008872,M,N,Y,0,250400.0,Working,Secondary / secondary special,Widow,House / apartment,-7449,-753,1,0,0,0,Managers,1.0
5008873,F,Y,N,2,159300.0,Working,Secondary / secondary special,Married,House / apartment,-19951,-166,1,0,0,0,Laborers,4.0
5008874,F,N,N,2,174800.0,Working,Secondary / secondary special,Married,House / apartment,-16572,-4519,1,0,0,1,Cleaning staff,4.0
5008875,M,N,N,0,2292200.0,Commercial associate,Higher education,Married,Municipal apartment,-23788,-12190,1,1,0,0,High skill tech staff,2.0
5008876,M,N,Y,0,406300.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-14257,365243,1,0,0,1,,1.0
5008877,F,Y,Y,0,375500.0,Working,Secondary / secondary special,Married,House / apartment,-16777,-5669,1,0,0,0,Laborers,2.0
5008878,F,N,N,2,178800.0,Working,Higher education,Married,With parents,-20862,-11591,1,0,0,0,Drivers,4.0
5008879,F,N,Y,0,535100.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-8174,-1527,1,1,1,0,Sales staff,2.0
5008880,F,N,Y,0,423000.0,Working,Higher education,Married,House / apartment,-8300,-292,1,0,1,0,,2.0
5008881,M,Y,Y,0,625500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11171,-938,1,0,0,0,Drivers,1.0
5008882,F,N,Y,0,610500.0,Working,Secondary / secondary special,Widow,House / apartment,-9979,-2388,1,0,0,0,Laborers,1.0
5008883,M,N,N,0,116500.0,Working,Secondary / secondary special,Married,House / apartment,-7423,-275,1,0,0,0,Security staff,2.0
5008884,F,Y,Y,0,140200.0,Working,Secondary / secondary special,Married,House / apartment,-18682,-1528,1,0,1,0,,2.0
5008885,F,Y,Y,0,147800.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-21841,-6602,1,0,1,0,Laborers,2.0
5008886,M,N,Y,0,152300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24784,365243,1,1,0,0,,2.0
5008887,M,Y,Y,0,287000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15357,-8184,1,0,1,0,High skill tech staff,1.0
5008888,M,Y,Y,0,183900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12413,365243,1,0,1,0,,2.0
5008889,M,N,Y,0,688200.0,Working,Secondary / secondary special,Married,House / apartment,-23082,-12611,1,0,1,0,Sales staff,2.0
