ID,MONTHS_BALANCE,STATUS
5008804,-53,C
5008804,-52,0
5008804,-51,0
5008804,-50,0
5008804,-49,C
5008804,-48,C
5008804,-47,0
5008804,-46,C
5008804,-45,0
5008804,-44,C
5008804,-43,C
5008804,-42,0
5008804,-41,C
5008804,-40,0
5008804,-39,C
5008804,-38,C
5008804,-37,0
5008804,-36,C
5008804,-35,0
5008804,-34,0
5008804,-33,C
5008804,-32,0
5008804,-31,C
5008804,-30,0
5008804,-29,0
5008804,-28,0
5008804,-27,C
5008804,-26,C
5008804,-25,0
5008804,-24,0
5008804,-23,0
5008804,-22,C
5008804,-21,C
5008804,-20,0
5008804,-19,0
5008804,-18,X
5008804,-17,C
5008804,-16,C
5008804,-15,C
5008804,-14,0
5008804,-13,C
5008804,-12,0
5008804,-11,C
5008804,-10,0
5008804,-9,X
5008804,-8,C
5008804,-7,0
5008804,-6,0
5008804,-5,C
5008804,-4,C
5008804,-3,0
5008804,-2,C
5008804,-1,C
5008804,0,C
5008805,-17,0
5008805,-16,X
5008805,-15,0
5008805,-14,0
5008805,-13,1
5008805,-12,0
5008805,-11,0
5008805,-10,0
5008805,-9,0
5008805,-8,C
5008805,-7,X
5008805,-6,0
5008805,-5,0
5008805,-4,C
5008805,-3,C
5008805,-2,C
5008805,-1,0
5008805,0,0
5008806,-44,C
5008806,-43,C
5008806,-42,C
5008806,-41,0
5008806,-40,0
5008806,-39,0
5008806,-38,0
5008806,-37,X
5008806,-36,C
5008806,-35,C
5008806,-34,0
5008806,-33,X
5008806,-32,C
5008806,-31,0
5008806,-30,0
5008806,-29,0
5008806,-28,C
5008806,-27,0
5008806,-26,C
5008806,-25,0
5008806,-24,C
5008806,-23,0
5008806,-22,X
5008806,-21,1
5008806,-20,X
5008806,-19,C
5008806,-18,0
5008806,-17,0
5008806,-16,X
5008806,-15,C
5008806,-14,C
5008806,-13,C
5008806,-12,C
5008806,-11,X
5008806,-10,X
5008806,-9,0
5008806,-8,0
5008806,-7,C
5008806,-6,0
5008806,-5,0
5008806,-4,0
5008806,-3,C
