Feature,RF_Importance,Mutual_Information
AMT_INCOME_TOTAL,0.1354607014982511,0.018444051533839767
INCOME_PER_MEMBER,0.12002734648748016,0.01955728245831234
DAYS_BIRTH,0.06586476100443846,0.0009029427154332303
AGE_YEARS,0.06332743901473464,0.0005007836931680831
YEARS_EMPLOYED,0.056992233773817166,0.011228604590741709
EMPLOYED_TO_AGE_RATIO,0.055109431115557245,0.005735266012370843
DAYS_EMPLOYED,0.05485056416151569,0.010401250790589067
INCOME_GROUP_high,0.039552475833298247,0.015651965791257716
CNT_FAM_MEMBERS,0.027508576507601537,0.007560275385964488
CNT_CHILDREN,0.02417427723353246,0.0
FINANCIAL_STABILITY_SCORE,0.0241333711206341,0.006842522482687352
INCOME_GROUP_medium,0.019117709960534794,0.0015053547101502307
NAME_EDUCATION_TYPE_Higher education,0.014995576824334817,0.0066534762116405854
INCOME_GROUP_low,0.01471715820256257,0.011532640032141162
CODE_GENDER_M,0.013535870978094455,0.0
CODE_GENDER_F,0.013014049472284277,0.0011629577711753658
NAME_EDUCATION_TYPE_Secondary / secondary special,0.011550412876078466,0.0
FLAG_PHONE,0.011197166360788116,0.0046501117758568355
FLAG_OWN_CAR_Y,0.010166075484078028,0.0
FLAG_WORK_PHONE,0.01013449469774368,0.0
FLAG_UNEMPLOYED,0.009792875950049146,0.014486254107168861
FLAG_OWN_CAR_N,0.009527349375951295,0.0
NAME_FAMILY_STATUS_Married,0.009387177113579321,0.008428419207049398
FLAG_OWN_REALTY_Y,0.008875289610233438,0.007905298296541075
FLAG_OWN_REALTY_N,0.008588917165824337,0.005613310186171283
NAME_INCOME_TYPE_Working,0.008584727899882414,0.0
NAME_INCOME_TYPE_Commercial associate,0.008576723346004109,0.008836274550447776
OCCUPATION_TYPE_Laborers,0.00829269644924335,0.0006680879411287144
AGE_GROUP_adult,0.008277851117579157,0.0
NAME_INCOME_TYPE_Pensioner,0.00769762370207012,0.0018906475279309998
AGE_GROUP_senior,0.007615434746483178,0.0032266279558885724
OCCUPATION_TYPE_Managers,0.007211626741987912,0.0005165639877078299
AGE_GROUP_youth,0.006847108739310071,0.0
EXPERIENCE_BUCKET_entry,0.00680560754136381,0.003287192247139359
NAME_FAMILY_STATUS_Separated,0.006778427343639307,0.0019860545586514178
FLAG_EMAIL,0.006745205449917396,0.0014548199430706177
NAME_FAMILY_STATUS_Civil marriage,0.00670171198138203,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.006515610944358163,0.004707700828749939
NAME_HOUSING_TYPE_House / apartment,0.006303410701276289,0.0
NAME_FAMILY_STATUS_Single / not married,0.006064516352009216,0.0
OCCUPATION_TYPE_Sales staff,0.005231097401851839,0.0
OCCUPATION_TYPE_Drivers,0.005195365612505099,0.0
OCCUPATION_TYPE_Core staff,0.004818037542548538,0.0
EXPERIENCE_BUCKET_mid,0.004813106457140308,0.0
NAME_INCOME_TYPE_State servant,0.004563628488070326,0.00011445103053886463
NAME_HOUSING_TYPE_Municipal apartment,0.004531838012559526,0.0014562468919216975
EXPERIENCE_BUCKET_senior,0.00428244035829967,0.006949765364840044
NAME_HOUSING_TYPE_With parents,0.004181314147625836,0.0011735351372925695
NAME_FAMILY_STATUS_Widow,0.004085159962933124,0.0
NAME_EDUCATION_TYPE_Incomplete higher,0.002760611033157391,0.0
NAME_HOUSING_TYPE_Office apartment,0.0023271132141653174,0.0036346906927464673
OCCUPATION_TYPE_Security staff,0.0022553522264941706,0.0035547576146155446
OCCUPATION_TYPE_High skill tech staff,0.0019033629425730938,0.004174013332001403
OCCUPATION_TYPE_Medicine staff,0.0017853904333706018,0.0
OCCUPATION_TYPE_Accountants,0.0011587890958813963,0.0
OCCUPATION_TYPE_Cooking staff,0.0010793532643864194,0.004348323550039002
NAME_HOUSING_TYPE_Co-op apartment,0.0010153323409339897,0.0
OCCUPATION_TYPE_Cleaning staff,0.0009728523456711258,0.0
NAME_HOUSING_TYPE_Rented apartment,0.0009593840569779763,0.0020413241513148606
OCCUPATION_TYPE_IT staff,0.000817450117168551,0.0017345360654683617
OCCUPATION_TYPE_Private service staff,0.0003769764058044932,0.003717724927763344
OCCUPATION_TYPE_HR staff,9.005556604637299e-05,0.003601007071422302
OCCUPATION_TYPE_Low-skill Laborers,8.672394974419213e-05,0.0
NAME_INCOME_TYPE_Student,3.710178440874529e-05,0.0
OCCUPATION_TYPE_Secretaries,3.412443122745682e-05,0.0006034579467000256
OCCUPATION_TYPE_Realty agents,1.268708210877208e-05,0.0
OCCUPATION_TYPE_Waiters/barmen staff,5.766846841656736e-06,0.010584976164547788
NAME_EDUCATION_TYPE_Academic degree,8.433012670932826e-19,0.0
FLAG_MOBIL,0.0,0.0046560883553175
